               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12578,            0.035969,                   0,          0.00022222,            0.076923,          0.00077263,          0.00015453,            0.058514,            0.023438,                   0,              0.0982,              0.0002,              0.0002
                   1,              0.1227,            0.036006,                   0,          0.00019608,            0.076923,          0.00078532,          0.00015706,            0.057693,             0.02238,                   0,            0.095475,          0.00047525,          0.00047525
                   2,             0.11837,            0.035145,                   0,          0.00019608,            0.076923,          0.00097323,          0.00029916,            0.056482,            0.021055,                   0,            0.092721,           0.0007208,           0.0007208
                   3,             0.11529,            0.038891,                   0,          0.00017544,            0.076923,           0.0008545,          0.00022883,            0.054888,            0.019804,                   0,            0.089937,          0.00093665,          0.00093665
                   4,             0.10681,            0.040405,                   0,          0.00015152,            0.076923,          0.00077777,          0.00026071,            0.053035,            0.018682,                   0,            0.087123,           0.0011228,           0.0011228
                   5,            0.098845,            0.037679,                   0,          0.00014493,            0.076923,          0.00093926,          0.00030003,            0.051071,            0.017949,                   0,            0.084279,           0.0012793,           0.0012793
                   6,            0.097268,            0.039321,                   0,          0.00015965,            0.076923,          0.00053245,          0.00018983,            0.050134,            0.017155,                   0,            0.081406,            0.001406,            0.001406
                   7,            0.092582,            0.041375,                   0,           0.0009664,            0.076923,          0.00056627,          0.00019951,             0.04899,            0.016683,                   0,            0.078503,           0.0015031,           0.0015031
                   8,            0.091074,             0.03818,                   0,           0.0033387,            0.076923,          0.00055586,          0.00021932,            0.047128,            0.015989,                   0,             0.07557,           0.0015704,           0.0015704
                   9,              0.0848,            0.042534,                   0,            0.017542,            0.076923,             0.00736,             0.00368,            0.046293,            0.015906,                   0,            0.072608,           0.0016081,           0.0016081
                  10,            0.085753,            0.037992,                   0,            0.027834,            0.076923,            0.008545,           0.0032923,            0.042656,            0.015944,                   0,            0.069616,            0.001616,            0.001616
                  11,             0.08308,            0.035883,                   0,            0.088838,             0.23077,            0.062567,            0.016704,            0.046311,            0.016074,                   0,            0.066594,           0.0015943,           0.0015943
                  12,            0.079519,            0.041632,                   0,            0.086889,             0.23077,            0.067113,            0.024349,            0.044215,            0.016568,                   0,            0.063543,           0.0015428,           0.0015428
                  13,            0.080709,            0.038335,                   0,            0.071676,             0.15385,            0.037591,            0.015941,            0.038515,            0.016547,                   0,            0.060462,           0.0014616,           0.0014616
                  14,            0.072309,            0.032312,                   0,            0.082033,             0.23077,             0.05973,            0.015449,            0.040082,            0.017137,                   0,            0.057351,           0.0013508,           0.0013508
                  15,            0.070684,            0.038895,                   0,            0.083127,             0.25145,            0.059403,              0.0302,            0.039048,             0.01726,                   0,             0.05421,           0.0012102,           0.0012102
                  16,            0.070447,            0.038799,                   0,            0.094355,             0.30769,            0.063244,            0.027252,            0.037798,            0.017663,                   0,             0.05104,             0.00104,             0.00104
                  17,            0.071667,            0.033898,                   0,            0.099951,             0.30769,             0.06617,            0.034844,            0.036008,            0.017381,                   0,             0.04784,          0.00084005,          0.00084005
                  18,            0.069119,            0.036172,                   0,             0.09785,             0.30769,             0.07083,            0.028236,            0.035866,            0.017344,                   0,             0.04461,           0.0006104,           0.0006104
                  19,            0.066902,            0.034984,                   0,             0.11584,             0.38462,            0.072944,            0.041694,            0.034618,            0.017043,                   0,            0.041351,          0.00035105,          0.00035105
